"sample","sampleid","otu","Kingdom","Phylum","Class","Order","Family","Genus","pctseqs"
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00004;seqs=21815605;samples=8834","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",0.0544705074099519
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00006;seqs=19951031;samples=5570","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",0.000687015408774168
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00009;seqs=13397954;samples=7232","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",0.0106978113651978
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00016;seqs=6595834;samples=1355","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dubosiella",0.62420257140053
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00028;seqs=4185089;samples=5268","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",0.0203160270880361
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00036;seqs=3075213;samples=3779","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",0.0149180488762391
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00037;seqs=3027715;samples=2897","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",0.00186475610952989
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00060;seqs=2192784;samples=2923","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto",0.00559426832858966
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00072;seqs=1808299;samples=2269","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.0141328884090686
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00073;seqs=1761110;samples=1962","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.00716458926293061
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00084;seqs=1534943;samples=3548","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",0.0190401413288841
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00087;seqs=1402753;samples=1513","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.0540779271763667
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00097;seqs=1179851;samples=1678","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",0.00922563548925312
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00100;seqs=1158729;samples=1818","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella",0.0020610462263225
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00109;seqs=1065740;samples=1698","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.00785160467170478
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00121;seqs=932269;samples=1309","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoclostridium",0.00363136716066346
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00133;seqs=812650;samples=1815","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix",0.0050053979782118
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00137;seqs=791628;samples=802","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.00451467268623025
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00153;seqs=664085;samples=2866","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Massiliimalia",0.000392580233585239
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00155;seqs=659486;samples=578","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix",0.0106978113651978
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00165;seqs=614216;samples=2835","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",0.00785160467170478
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00167;seqs=599254;samples=3797","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter",0.00323878692707822
