Community,PC-1,PC-2,Log10(KP-CFU)
Mix01 (KP only),-6.018505687742793,1.3787296604572647,8.991226076135652
Mix02,-8.678763632397706,7.661670859210819,8.491361695235222
Mix03,5.531136523866351,-4.160749586400092,8.591064608140075
Mix04,-7.231327335295566,2.3404448985640682,8.146128038780342
Mix05,-4.6834607891921385,-1.9652397699321646,7.204120009799329
Mix08,-4.302567813973723,11.426991032565935,7.361727854899962
Mix09,-3.3819805109613306,8.45406017777846,6.612783962645206
Mix10,-6.673738828932376,-4.743299339819586,8.556302501973661
Mix11,-7.131253942263697,5.52749281306123,8.342422682796272
Mix13,-5.301188744602195,-2.005226480808482,7.643452686356516
Mix14,-6.021069162352664,-4.728388592696649,7.770852019003067
Mix15,7.339098996998978,-1.438580617764751,5.954242991988481
Mix16,-6.427081464633658,0.6723337039818742,8.204119985370266
Mix18,-7.5209079501834655,1.9602815568385241,7.518513953038326
Mix19,7.240999789734387,-1.6253033134020385,7.176091288008646
Mix20,8.043568663598482,-3.1387337186515145,6.633468556578292
Mix21,4.36609505912679,-1.9128709695068717,5.732394564071265
Mix23,-4.149438363436339,10.346276396000025,7.301030017378705
Mix24,2.107941162143785,2.6880560295386893,7.623249300738245
Mix25,6.93225823644018,4.995539977169724,5.812914024787698
Mix26,4.49950736727232,0.3943860057476882,5.908485555044346
Mix27,-8.654159006729996,0.8448442298450697,7.681241246423389
Mix28,-5.7787504482639696,-2.0589295488574604,6.707570261253709
Mix29,-4.992987912141687,-2.988509747656979,6.875061321297627
Mix30,2.5298445430989855,10.789570805705987,7.568201735804683
Mix31,-1.5021437350778168,-1.5901893456958451,4.707578691592528
Mix32,-4.247192331047453,3.804849038526999,6.176091548585239
Mix33,-6.494725796672483,-5.379672263507675,7.414973364674451
Mix37,-6.902632162888729,1.1680626021389895,6.518514071482256
Mix38,-4.662578075165631,5.400212647960572,8.204119985370266
Mix41,-0.19310910451472924,3.684048391714962,7.278753623810433
Mix42,-4.939280084462239,-5.236153831818308,6.672097950338789
Mix43,-5.5919476208478125,2.3756105260054166,6.880813649424798
Mix44,-9.21932449887287,-3.335785888364091,7.146128066699271
Mix45,-5.116900691383566,-2.827988867334476,6.806180041842395
Mix46,4.229023809199758,-1.6970472220923718,0.0
Mix47,1.5083877197779842,-3.706682846850734,6.50515011403691
Mix48,6.082851225996087,1.5319410326173257,4.851264465499688
Mix49,-8.312811580035007,-1.5574946003137793,7.748188034761459
Mix50,7.130854497646287,-4.5917158785257595,7.255272529230776
Mix51,-5.747233243919575,1.3978519625151438,6.518514071482256
Mix52,5.249925371313514,-1.205237905190193,7.204120009799329
Mix53,-0.5739104160670017,12.669344506892758,6.146128345888472
Mix55,6.549295750262351,-5.121188550914308,8.36172783790583
Mix56,-1.884862938999811,3.9778316468764623,7.342422700562864
Mix57,6.481542104684942,7.484655715943721,7.176091288008646
Mix58,2.6645256308830176,-3.636445674186385,6.025306274976352
Mix59,7.831423190849493,3.7131597384835713,5.716004178815692
Mix60,4.752892241579811,-5.082954512304912,6.301030212811168
Mix61,5.2179967289386395,-3.219490734149686,7.255272529230776
Mix62,7.71040330038037,-2.0709877452569048,6.698970091194907
Mix63,-4.014529569749204,5.951274467280874,7.04139272463954
Mix64,6.339428132595015,-5.323483575108235,6.50515011403691
Mix65,4.479015874284759,1.8786902437813748,7.146128066699271
Mix66,4.730572124716197,-6.001062328491759,5.707571027654909
Mix67,-2.8947796937761474,6.886755662196587,6.380211422667602
Mix70,4.381840086208186,-2.8923273503079194,7.505149991891608
Mix71,3.8041949253959175,-1.8617104586874451,6.255272746377951
Mix72,-5.774069178378435,-7.448107428030415,4.518527100117336
Mix73,8.328273223432404,8.263169721549223,5.414975018330997
Mix74,4.229246802583949,-2.479462147464567,6.176091548585239
Mix75,-6.764529330587433,-3.913091123899372,7.380211259807209
Mix76,-7.396366388685936,-3.5750536435065112,5.5051513354880415
Mix77,2.965996581487266,-7.149437880130116,6.431363925008766
Mix78,3.39238928642482,-3.30020111451627,6.176091548585239
Mix79,-1.4466397664175674,7.994266585583823,5.954242991988481
Mix82,0.6667485815258037,4.1204949284870995,5.230451476044183
Mix83,3.4333394083081346,-2.595860629009997,5.672098781965547
Mix84,-6.372342295639942,-5.3236741026171375,7.204120009799329
Mix85,11.559894291608577,18.970727043740595,5.8512589604010135
Mix86,4.756658294767595,-4.021520517365106,7.612783867312284
Mix87,7.46385247696919,-0.914115343906674,7.176091288008646
Mix88,-0.14830692360862305,-2.375573566333237,6.6020600999015695
Mix89,2.189937716301893,3.1961963310914903,8.204119985370266
Mix90,4.1085300096101,-6.033882231411074,6.230449176845541
Mix91,-6.471305061707745,-7.011703334930795,6.7781513227660515
Mix92,-8.008664437328505,-5.497557978075988,8.113943355647564
Mix93,4.377711882641316,-2.562910458205894,5.518515255919778
Mix94,7.846011949445052,-3.1271804615279164,4.051191124685698
Mix95,3.8649137126623967,-6.436147820422995,4.63347855533382
Mix96,4.7092392441764535,-3.0808898939009253,0.0
