Community,2.methylbutyrate_PFBBr,3.aminoisobutyrate_PFBBr,3.aminoisobutyrate2_PFBBr,4.methylvalerate_PFBBr,5.aminovalerate_PFBBr,acetate_PFBBr,alanine_PFBBr,aspartate_PFBBr,benzoate_PFBBr,butyrate_PFBBr,catechol_PFBBr,crotonate_PFBBr,cysteine_PFBBr,desaminotyrosine_PFBBr,dopamine_PFBBr,glutamate_PFBBr,glycine_PFBBr,hexanoate_PFBBr,histamine_PFBBr,hydrocinnamate_PFBBr,indole.3.acetate_PFBBr,indole.3.carboxaldehyde_PFBBr,indole.3.propionate_PFBBr,isobutyrate_PFBBr,isoleucine_PFBBr,isovaleric.acid_PFBBr,itaconate_PFBBr,leucine_PFBBr,lysine_PFBBr,methionine_PFBBr,p.cresol_PFBBr,palmitate_PFBBr,phenol_PFBBr,phenylacetate_PFBBr,phenylalanine_PFBBr,proline_PFBBr,propionate_PFBBr,serine_PFBBr,succinate_PFBBr,synephrine_PFBBr,threonine_PFBBr,toluate_PFBBr,trans.indole.3.acrylate_PFBBr,tryptamine_PFBBr,tryptophan_PFBBr,tyramine_PFBBr,tyrosine_PFBBr,valerate_PFBBr,valine_PFBBr,vanillin_PFBBr,2.3.butanediol_TMS,2.aminobutyric.acid_TMS,2.hydroxy.3.methylbutyric.acid_TMS,2.hydroxybutyric.acid_TMS,2.hydroxyisocaproic.acid_TMS,3.hydroxybutyric.acid_TMS,4.hydroxyphenylacetic.acid_TMS,4.hydroxyphenyllactic.acid_TMS,4.methylvaleric.acid_TMS,5.oxoproline_TMS,alanine_TMS,aspartic.acid_TMS,benzoic.acid_TMS,citric.acid_TMS,creatinine/creatine_TMS,cysteine_TMS,cystine_TMS,erythronic.acid_TMS,fumaric.acid_TMS,glucose_TMS,glutamic.acid_TMS,glutamine_TMS,glycine_TMS,glycolic.acid_TMS,hexanoic.acid_TMS,histidine_TMS,indole.3.acetic.acid_TMS,indole.3.lactic.acid_TMS,indole_TMS,isoleucine_TMS,lactic.acid_TMS,leucine_TMS,lysine_TMS,malic.acid_TMS,mannitol_TMS,mannose_TMS,methionine_TMS,niacin_TMS,ornithine_TMS,palmitic.acid_TMS,pantothenic.acid_TMS,phenylacetic.acid_TMS,phenylalanine_TMS,phenyllactic.acid_TMS,proline_TMS,psicose_TMS,pyruvic.acid_TMS,ribose_TMS,serine_TMS,stearic.acid_TMS,succinic.acid_TMS,sucrose_TMS,threitol_TMS,threonine_TMS,tryptophan_TMS,tyrosine_TMS,tyrosol_TMS,uracil_TMS,urocanic.acid_TMS,valeric.acid_TMS,valine_TMS,cis.aconitic.acid_TMS,meso.erythritol_TMS,myo.inositol_TMS,5.aminovaleric.acid_TMS,cadaverine_TMS,putrescine_TMS,tyramine_TMS,KP_CFUs
Mix01 (KP only),1.6440694123906214,1.9722332621591367,13.081255975235297,0.7574794210553646,2.3383945008799536,1.9415450602438922,7.215596537723796,1.5528105097191052,-6.381779789246517,3.0923899028737485,-0.8741241618183155,9.863808248329164,2.897916841332205,-7.044224280378123,1.4747282745508028,-0.9331436906462431,-2.538539829554847,-1.5565142217800514,-16.008403432122215,0.07873925627946832,3.1255752095395,-6.6459216327907855,-3.4835249574503435,-0.49564864327814595,-6.367232462306879,-4.330268005735191,-1.5941822546632305,-7.127637570575853,1.3778084207009664,4.083892570384745,4.51384850577973,-4.290985934946269,-8.009636522570084,-0.6377670512133637,-1.1107970341307276,-1.7202981030998048,0.5501206623554489,-0.9544821216335047,-2.1577274631494716,-6.441186463664193,-6.868451355604758,-2.9040103639801442,2.086650581854348,2.261807406591564,-0.7186173318243833,1.0303070251245603,6.742755932706832,-0.6202294370942789,2.5695114964330825,-4.981230652825704,-10.779609210820386,-4.889341339580163,-5.3871007951124374,-8.238930221808257,-3.9601773405653065,0.8825704728352165,-7.028457117083886,3.906383613819818,-4.564348233382836,-0.18085911154095546,-1.7715440548961234,1.7024718304662247,1.9764992908754975,-13.829124605006264,1.4258389798792717,-1.1585604823251778,-8.793689900210255,1.252728440055341,-7.596635071099921,5.037001147057632,0.0497027165222208,-5.396895591900792,3.2598315330241023,13.815107860930631,3.8243272108125286,2.1807611813713397,4.224902798481706,8.778713526115771,6.198042709211686,4.944325880597556,-0.830583497416314,4.551421848903488,9.370356079465935,3.252674892215044,1.8808900781854854,-1.7449058854700785,2.47323635552463,2.3307250283045557,1.9487857927117167,-0.34562053788058744,9.76603907618501,2.9489983973990466,2.786292992007751,3.3954979338011193,3.49520198904752,2.4224887420925363,10.259818395861117,-0.6360870763521993,10.423788471640606,1.7673569732094103,-2.7796622254884977,-4.1095362995709435,0.4887417118512618,2.558053960077169,4.225203131183454,2.3924718849412705,10.569631091449402,2.381848787895912,2.2529467020403984,10.457307299618272,0.40772251410724436,7.807092688715813,2.972476550248381,4.9579179438012915,2.3039995304410263,1.8418626412988903,3.3170631400294326,5.188217355118766,980000000
Mix02,3.7385511488881575,3.109074404785332,8.783275994923777,-3.111993659006169,2.87027824082155,1.4166921998152773,4.407761372877403,-2.0676994905260226,-0.48132702097327895,4.469290763436299,1.8491957307380313,6.691750939454723,-6.794667673578092,-6.882042189315122,0.26846583846219574,1.4343240103393287,-4.391797607679526,-1.2422112423095326,-12.35730492749862,1.4025673772465614,2.8837265602599977,-5.093413583749801,-1.6532671275851865,-0.48672550573505385,-16.563918078507985,1.953752306673242,-2.0353527655256207,-3.3349529707140757,0.6284833820733414,-0.8604122879766933,3.134744649266439,-3.721232905892627,-10.037017727107862,-2.264744004907642,-1.3453035828583686,-7.826836604749905,-4.132870112613018,-6.249515962990433,-2.6706700447139013,-10.40324909544352,-9.275415793601038,4.038187577092716,2.0465001415402786,1.6500641126317506,-0.7480178323020029,1.865807562289881,5.084817918933981,3.0569745198067557,2.2100815975329695,-0.08871898929256594,-9.31678262033097,-4.39419614447438,-5.303766894026368,-7.748181973426794,-4.471759081432802,-0.103054433745984,-9.458224560542408,4.2189813685146795,-5.4760443195563955,-0.8349137804546387,-1.2272675126129577,1.23151318195898,3.407459968933626,-7.689904128297657,5.723678986532669,-0.742086360117062,-7.9815516060727765,1.5257457853755314,-6.332492249929047,9.314758692471164,-1.3129991729733046,-1.6742000857373815,4.706360370990226,14.28780558083995,1.9525048360854478,3.2998339045246987,8.687503561224881,13.388111481553855,6.221623037375483,2.6149351537051246,0.27058514662667293,4.079002314708837,9.808737702680107,3.3333239837088775,2.1961441493814684,-2.801755511620788,2.3312868057339804,3.036546194859357,-1.9517985820031754,-2.5771591920908308,17.167292634872062,1.8287936836107639,3.1725158803616806,2.309712640357132,2.899282133386377,3.87011122757628,10.25684553129421,-2.771006307094449,11.999018947983055,2.994619417164143,-2.175407049602443,-3.2021222011251633,1.925389085276854,2.4044163850781413,4.531727521811792,3.0081737769979062,11.953854177360054,-0.006159270342430245,0.7173642513771082,11.244416529555794,0.7855597951118167,10.897142062327852,2.7662912559164705,1.6970926306632979,2.687339907136352,2.1314025962438663,3.888269880042922,5.217949164716955,310000000
Mix03,5.0333760643746634,1.8171561546398274,11.509347319372333,0.13720974546623355,2.4351537351915544,2.1681734256767844,3.3707363370606735,2.9908183482411594,-5.25100905044382,3.0641437725232246,-0.2392165958048895,5.2680605052551055,-6.775765206702893,-5.176565863077819,-4.540432433386168,0.7487705691176618,-3.8428664435228197,-1.9668285323223194,-9.692392063171695,0.16315154568470613,3.213915570614685,-7.02195117578532,-0.2988049139254516,-0.6452560226538862,-10.088705501276078,0.12070520256183181,-4.5402708146669895,-3.6683818070948764,0.6134523436917371,5.777397810486785,-1.1742968945390375,-4.05685782917912,-6.611546740624641,-1.7468914370333963,-0.3478380734789258,-6.330941445825712,-3.2976221412137012,-1.9499425279209945,-2.8178210452039782,-7.243049138735954,-9.689408249294294,-0.650999924391928,1.2050931913768679,1.1803580456623166,-0.8492936763285576,1.6405608675368026,7.496472170259247,-0.15424325552490759,5.3510157074647955,-0.4869511632073017,-10.583890274599536,-2.5690119439304766,-5.429980719889176,-6.8110439704514825,-4.039599109442628,2.034593345591092,-6.797832891543544,2.1038729196378503,-7.154346104008211,2.047580921443983,-5.39398855805166,4.241761271046077,2.6158571151891548,-9.360425589983453,0.12916654422720164,-2.677537388633096,-8.928472477434449,1.8387996001150855,-13.674121934633266,12.135189917137891,-0.4398785744122167,-4.706994467183284,5.135660460990488,15.960837779212998,1.8211081926255537,3.0186669446819216,6.662825366937766,20.409978477000145,6.997542475970802,4.043245272346256,-0.9264783578927975,3.6778697230921433,12.026718109523017,1.9898301469809665,3.315618462975616,-2.1761750376601485,1.996439758464137,2.4881354769451134,-2.048335909265785,-2.7471885611314164,7.066831274492921,4.156298008708063,2.0297988989096276,2.8479899995211357,2.576243535122258,1.9405232526801766,9.056735358206124,-6.69743323163976,12.995332653276618,1.9861934632204503,-1.7305458076521028,-3.193541949239934,-5.988938461048431,2.7308580710420283,4.785477970438587,4.135615558802733,13.599702647977344,1.795918426871196,1.7677491238452057,11.398087250548633,0.44747872716702786,11.030292692391562,3.758416794910586,1.9531025643938063,2.708780719321554,3.4291870036554393,2.388502985602902,4.669147652557777,390000000
Mix04,2.0782198079264265,2.447541192312648,10.13434428159934,-0.7276012195986207,3.069342995747221,2.0983741155933044,6.683335852125329,2.6286880931106564,-2.2136357564089155,2.735207292687492,-3.579964397798548,4.9024447455515645,-6.052242405843515,-6.034797085563139,2.6057281050760372,0.19623921694048513,-3.756692537272006,-1.4758607188461257,-9.964087187808119,0.3903596365868381,3.2981344168559135,-6.263614901506573,-0.1561485861738943,-0.9352718341388429,-12.277763389229648,-4.747146291032342,-3.988517879170958,-5.306024216640038,0.05600633701012114,8.138412949993088,-4.447324012039169,-5.473076513108918,-7.9386947477425185,-1.0374777849355423,-3.2392293447464597,-1.2420904391638479,-0.7581410305672245,-1.8155048715367232,-2.500292678574948,-11.186133783199825,-7.712859250385168,0.6805940220333855,1.6969152091476671,2.9803406070310596,-0.7760642901146492,2.0939257817006816,7.075759514730538,-0.7981974760425499,6.130156361008105,2.020218787468747,-8.92289483942268,-2.601662573346778,-5.761075102608388,-7.085019759396227,-4.002679424677538,2.0134508471131713,-9.56021778337459,3.176782836479967,-7.43453790286234,0.16002481547439962,-4.302476540083736,2.4324620426154127,2.508348678058949,-11.391375265553886,1.4115568309311883,-2.267240043437395,-9.00558992843048,2.803826930581634,-5.402892843721367,4.644533700472543,-1.6964933171183034,0.9540162918526924,4.207057895332243,12.652260178138809,3.8672795775040774,2.429295873080436,1.8561905111699852,11.750767716125345,6.4860256111207795,3.105755115293334,0.2573191765509589,4.208280655138343,9.91845038223153,3.0646555507952216,3.16742925361062,-2.28416547599315,1.9947413195616432,2.454658489931821,-5.405415051043629,-2.7278623867414598,7.771874387225838,2.591659795724373,2.9846386771790234,2.2482727210461855,2.0958826798382226,1.7461980717365135,12.775425074225005,4.773690076138934,11.758053597772344,3.498117859142521,-4.429222353282857,-2.9488916328376598,2.512244042478878,3.469476462395387,2.6619716227992303,2.410800950697115,11.416960630669829,-5.124557410437572,-0.3431860570482268,11.621696168767848,1.649484123914969,6.975659319040389,3.051438469144817,2.5839382053889572,2.89363313990051,2.6492667441950184,2.3071273767088787,4.374694235104808,140000000
Mix05,0.7603321198272397,1.987761297924918,7.108907781555946,2.3880043552155756,2.028003517509237,3.1859672936136185,5.221930033050085,1.7273103763702797,2.5883518080172716,5.452600518850506,0.34727716879857784,5.555486142686683,-0.20464686382110298,-3.0329054998128497,-2.5646749276821588,0.41020627965702405,-1.5861544374555179,-1.9574957157696204,-12.743458602065543,0.19406959355273867,2.6070405262395995,-5.523842863478239,1.0249020730037102,-0.45349872351094955,-8.28848022936888,-9.572943610612633,-10.165981818138185,-1.1262767336299615,0.7544539907614296,6.42422299538679,2.74405527732863,-4.465171960073485,-6.105773970250432,-0.6043604636994644,-2.266520107685744,-1.3711181891218767,-1.5392547369880183,-5.666680752803652,1.1472151398078987,-7.0474565771277105,-7.634073842359867,1.541761964958936,1.9851259787127304,2.9423337587138896,-0.7999318581129252,2.9114231164503845,5.523693558138262,1.720834095803312,-1.0686726965508335,-1.4595214159656278,-6.18364337701977,-4.112032882393749,-4.915839578049514,-7.287419264691609,-4.117020331394885,0.22358884364777065,-7.033385241476942,3.0680272493730847,-6.812569674529487,-0.6609038997211798,-0.4646818964678714,2.015892676117587,2.4401174093434967,-11.400232727817112,1.7453196544151708,-0.6126692167025043,-10.08203176427221,2.147528471599717,-6.722306834689911,-6.736792997748284,-1.3376761033159195,-2.082681677143763,3.965477756027048,13.443013958383053,3.0299505115207315,3.16944225113423,7.230847767099862,9.490852763109633,5.944342023409962,1.9142129482480519,1.4429202521886213,4.248356371880152,9.526384675778663,2.5266974612017976,3.563665737701415,-2.449003489717227,3.1983179404917284,3.3417036820242276,-3.5410111313967354,-0.6322518371577501,8.505734343469175,2.871572819022755,2.460213929236254,2.171650406712294,1.8794477589078475,2.8145905911696465,7.398666160420517,0.7670529925475711,13.261072740195022,3.219400526293642,1.9846788527733716,-3.60816315108689,-1.0782785497318472,2.9198679865415085,3.9871525377164834,2.4746140818758895,8.529248340692583,-2.423353219456262,-1.8885515755538191,11.33089047851838,0.5012932165968226,7.457253746219478,2.924019861262586,3.7697720129605736,1.4925753712041343,2.1527602801401873,2.9663187607723236,5.091337650285441,16000000
Mix08,1.5611471176243998,3.0367096803159854,9.644295561402314,0.366520285723143,3.1211715496307137,1.6167773963637386,4.731603815486275,3.213670082561877,-0.5358941454923969,6.9133623545635725,-0.3943936757313276,5.292735934427639,-10.367136892850288,-5.980388742217004,-0.41796412449753634,-1.4511414877893254,-4.09243891726884,-1.1551008243481697,-15.512725647563734,1.4251156019033837,2.782517915336416,-5.470546792096122,-3.5450475543995372,-0.4605729214262078,-11.206312337626667,-5.03475083508291,-3.013832649037303,-5.889675882076211,0.7150869699536696,2.0320573395230275,-9.198331808368442,-2.7570513802853895,-6.7899444683223225,-0.1048283634193179,-3.2169874949823205,1.411990856578171,0.49004777538451805,-2.3612142579534923,-3.514196739992159,-9.24617243830357,-9.102321459045633,-2.6960141510791957,1.653361996912992,2.960388136090101,-0.8067437885577057,1.2307724571789547,6.567153704178714,-2.922422116839902,0.7110145763952991,-1.0662476503196952,-5.215514784378568,-4.001416934388958,-5.1516691580541,-6.276789204951132,-3.609690484207815,0.698105473297696,-7.089828914370206,3.212268043314377,-5.57751971957901,4.938711480386559,-4.381755772237217,2.2526637145828157,2.8595502312987877,-1.211997038525248,4.169330069585198,-0.5772610443196369,-8.903532570202334,3.5246772835875295,-6.623297729296275,4.529098793114876,-1.838859469607014,-5.550853023147638,4.974063707130441,14.329171027066687,2.17108035608329,3.139515307356213,1.65260944390472,16.010423641156002,4.9746693766039485,3.7479206127844398,-1.488657310025652,4.403829209698196,8.305943615767081,3.8701643125222516,4.391534457966108,-3.5556064477656752,3.10076115310648,2.6228122563676988,2.79005852624398,-2.273026348197592,9.384875346913843,2.377782403591881,3.0034631077625646,3.6053894942047164,3.566203102997275,3.406470891375008,6.644918233840596,-3.7772037577113062,11.332112803806064,3.7163942533352508,-3.576825427172594,-4.275761822193704,3.474862422720269,3.1306258187276352,3.961018788870526,1.8769395730912968,12.17466784519927,-2.7475900759521075,4.542279270379713,9.83734234066643,1.0629308035217548,8.720783464025786,2.73552741612193,2.4590123985661365,2.522300027576558,3.2106926364312875,3.728660341108696,4.292628791844252,23000000
Mix09,0.9696842381144704,1.767739886417493,9.171447291846686,0.8599215190780374,2.98720357291932,-1.5781051861070043,5.40114198966665,1.2472274821615206,2.4219952373661546,3.763199107627769,-0.3570490842096915,5.438013960113843,-5.1470065478816585,-4.730005750784599,0.23677400932334913,0.5913860187408162,-2.16882633002516,-1.9373560294516246,-7.829634665864363,1.0946002759122087,3.227915063608309,-5.724055818609272,-1.5964321856784622,0.29937947795181014,-11.926764250319227,-4.710394916425232,-4.427380289378263,-4.301435712671481,0.22247833235065895,1.871063710412084,-1.6558895082572436,-1.8855648369825415,-7.3790352771947365,0.7338279284657823,-4.930817180372026,-7.59844935372936,-1.560687323759427,-4.192325068763906,-3.950203902128815,-6.861003196576136,-7.136909193764672,-0.26296470204651623,1.7699653171712308,3.013862938275679,-0.7919499812640971,1.4682842010924009,5.0892997395233746,0.0041746900674526355,2.977328210819196,-0.5444761698188205,-5.06863566085198,-5.528860890203301,-5.183855859140193,-7.396786234132907,-4.076584740271249,-2.4241163728918673,-9.726829502335377,3.3312784274464073,-7.224570190685886,1.2750211103241114,-1.7066086380340586,1.508670179492405,2.4878618781310062,-4.089033691975306,-0.8366188650078854,-1.7051285106231004,-10.006591012205904,3.3204182171366075,-1.4203995678472259,-0.21630010609107744,-0.5529706978663056,1.9937832802283708,3.9110665207975956,16.020670970057335,3.728079290786275,3.448467902026874,5.128243753019976,13.499244362588616,6.497968762254507,1.8286481533858485,-0.6455957515212698,4.624054544511553,11.233285350642955,1.097318105462946,3.995654148548714,-2.2479914113855712,2.166174349315856,3.569642074001668,1.3490054280018704,-8.05930792910415,15.318843120373465,2.8258181364900983,2.193203971358849,2.488718599859914,2.1176368119994065,2.5006520290614316,9.767365860880865,2.71741518344546,12.540684090693292,2.3013996922977684,-1.5102582761893706,-4.826494514526481,2.511145793290905,2.6279542605995143,4.264856886600558,2.5789937211770004,13.02882292915618,-0.769562394551149,5.258555688450305,12.42759863472763,0.05050026273390906,4.09140000943612,2.803870963897897,2.9343301744814734,1.6619560972651468,2.1413408255791198,3.0561992971194396,2.96039198682699,4100000
Mix10,4.516136671130364,3.631996725896185,12.282137459459749,-2.431866340418471,2.183455970251831,1.1526011835431342,5.402478934019498,0.36870426592628003,-3.7179045211541224,6.097942331755757,-1.581684282813204,3.085833103859076,-6.576928978990635,-4.363869312069506,-3.995000785670994,0.902693458191943,-3.51300588224039,-1.8902797865448946,-9.27675120700529,0.012488044188324832,3.025248947898137,-8.525167114063901,-3.3143140797989505,-0.2926052998714726,-8.996777898482591,-6.394615022880818,-5.362660757119,-5.030594563874905,1.1457660655206985,7.245699116354015,-6.218644743756382,-4.10767613522351,-5.489043396925075,-1.117844929590027,-4.2529707661503275,-3.484175831158311,-4.607027751827938,-0.8308137883554769,-1.7623915558143024,-11.405342821376513,-9.172398977981276,1.2420195598586656,1.7002302245367316,1.7221482922100952,-0.8242132283582414,2.3783740970662475,5.813889331273189,-1.9260857078363045,-0.7822066050726018,-0.5582215117019764,-2.9165212391859736,-4.135992033226073,-6.164947975963053,-6.738574034906792,-4.587197506647463,3.8689221133450555,-9.572985335977483,3.7949236756230333,-6.593880679734533,1.598853994867953,-0.8834778603143019,2.9855436628924794,2.995753423124404,-1.7147684252077373,9.157404989518554,1.6169139116227809,-8.2941406396682,2.142385802149501,-8.781965481045795,-4.909269598086054,-1.3105524339263384,-7.9649053436172,4.751930992333552,14.309514984298648,2.671590119685152,1.715278140810443,8.36421220173153,9.461110543306004,6.819321974236017,2.168454898407222,0.6020214534182311,4.4268926746035495,10.132215654201252,1.7264615461586663,5.221359444868273,-2.5442020737557676,2.846575490645549,2.2193733879489375,3.482405955192351,-5.1340598186243565,12.262977053925256,3.0376386762195486,2.7698336596359763,2.043729343609898,4.17675081146532,2.9003774409074383,9.802182460803904,-3.7056640650183934,12.168111384788054,2.4564258379038724,-1.0744860751614271,-1.4706716288738424,1.8740481457647022,2.457447463494698,3.133380844620989,3.995935398083259,11.15959581260063,1.5916079447791733,1.0250887235746056,10.459630990699774,1.2517750745493552,9.08525731279856,3.074640946312018,1.2869371156597955,1.9957519977782652,2.712690085470181,2.6330107433241814,4.153044009118168,360000000
Mix11,3.9137114074332002,1.999449914598023,4.1111487810576985,0.24814675366692562,2.6219308831784347,3.472574095182668,3.725532341169969,-0.09819872911821959,0.04516670152332525,5.908698202222229,-2.5105728217850882,4.659230857954768,-6.9333526722927115,-4.841032694811984,-2.2030312813362745,0.25939837472889776,-1.9791428737342764,-1.537230064096253,-10.779838440089389,0.2145325650100694,3.4868108219769014,-5.65811149808803,-2.657953029959321,-0.38276346405580014,-7.182366296782701,-2.1299366567450813,-5.821448157600517,-6.223609508727239,0.8089165924965198,2.7199323411124485,-1.4624459545892488,-3.089981982176681,-5.98605167670093,-3.9539896072200373,0.8448520625210769,1.1395637514276178,-1.7331775500999163,-0.9970320744181769,1.0759499070231202,-6.359419291926711,-8.002375957441126,-4.861748160824623,1.9933879277663615,2.1192974923066314,-0.7074600850045155,2.218810296052189,4.657330877857039,-1.106043898529883,-2.599242145952007,-4.168833884294107,-5.453385284554799,-3.9297250951057765,-4.61351953363504,-9.265333303784173,-3.418798327243892,1.6444290364238234,-7.021130312665398,4.238117068426759,-5.858486246635229,2.0096318395484776,-4.0766009944604376,1.6377195695246305,2.784844043240168,-1.97486734698324,2.595968799648875,1.6836155530786454,-8.20640138322009,3.5232008135417745,-3.6074418450279118,-2.3108026844818577,0.009418797930530132,-2.512102598891511,3.318116642332352,13.444705052444554,3.6124538860540594,2.4594334544184964,3.766479784258075,11.302077806071507,5.773933039529211,2.97552688993251,1.191492341846872,3.501714908501953,12.961204487881474,2.313819069725432,4.875181936102829,-2.4925880369965436,3.030220967563012,2.517149016108396,1.4833341412416075,-1.4674563506433722,15.00340966658501,2.7170903445198418,2.3713076872897307,3.6807159141765156,2.786323826587367,4.324910023210876,9.380455405180415,-2.4785856487685116,12.078053551885215,2.9958500992192953,0.683874591129398,-4.141782719505624,9.887777845126351,1.2869000373249277,3.757641120827689,2.5853676408290793,13.87149969087019,1.0814658763721328,3.9065638208652134,10.077660134386171,0.7309696485645001,10.909238517291971,3.231818993229171,2.6095675887577037,2.025170056516391,2.183639078153677,2.5535042238452528,3.264206188121222,220000000
Mix13,2.465408784707701,2.2912160879505294,7.572850176085462,1.3531584609176106,2.1543874383470105,3.7345759036091164,6.211216877066644,3.019153925691164,-0.0051707025833924725,1.63473173519264,-0.6210741673260115,4.315753491677895,-2.820220299091452,-6.706482961832889,0.9977742582885648,-0.10107925790858374,-5.272643461535271,-1.678963413335364,-9.257907417309461,1.24846848666476,2.676853101472686,-5.709687376590669,0.9950366201745537,0.11635258757028111,-11.49137199030632,-4.022936057259747,-7.978538153385864,-1.4482616912763149,0.7886596100393061,0.11807937067346286,-10.93979485909471,-4.336556548942808,-5.6067955704367,-3.3270159159682486,-0.6756176061497381,4.284240671221556,-3.9594116013774063,-0.9906311705900579,-1.8836379295400691,-3.7771444733010813,-7.835661233977846,-1.5089996122628966,1.8244209010273493,2.901886496162854,-0.7492396164201696,1.3460455057283918,5.498988161589727,2.9280904074959415,-1.8539474816442925,-1.8635035479094753,-4.677394576561374,-4.558533669569706,-5.27017217202252,-8.286381458589736,-4.182087906071835,1.119055519505039,-9.744002445956651,3.8007005559424716,-8.524201358480695,-0.3365225827257614,-3.007576889674585,3.2259169401536436,3.037988601751295,-7.099803243436729,2.6910143606294725,-1.4521049764884735,-8.931424138971165,1.7760057405514043,-4.440193389937025,0.9976410371600732,-0.02534711620485841,-2.8053314139381422,3.367375084262368,12.24923946669446,2.6266895183862227,2.597239245584224,4.613334106475339,14.120080417063283,6.203268035523201,5.2485955538293805,-1.5307321141427903,4.529116681835049,9.091320291401107,3.5334684878686557,2.549105939067421,-1.9759314576797917,2.3833967002434018,2.459192000233255,-4.477620761864164,-3.9507917814085256,15.54982532221753,1.5083194377704634,2.550144902215573,3.876469276406656,2.569302898953575,2.6380247674738437,7.668423335600596,-4.774428500618156,14.099442398623458,3.348333252358961,-0.8142934513645157,-6.461714967549924,6.147795715806387,1.9588454854300044,5.314888571428964,2.604063934364043,16.431103796894753,-0.8968402316199761,0.40947796603997444,10.43440466220713,0.25091042739372016,8.463691134264971,3.379558232522757,2.388493344959439,3.260328218212812,2.2386698490671617,4.230327103428857,3.6160284769461266,44000000
