Community,2.methylbutyrate_PFBBr,3.aminoisobutyrate_PFBBr,3.aminoisobutyrate2_PFBBr,4.methylvalerate_PFBBr,5.aminovalerate_PFBBr,acetate_PFBBr,alanine_PFBBr,aspartate_PFBBr,benzoate_PFBBr,butyrate_PFBBr,catechol_PFBBr,crotonate_PFBBr,cysteine_PFBBr,desaminotyrosine_PFBBr,dopamine_PFBBr,glutamate_PFBBr,glycine_PFBBr,hexanoate_PFBBr,histamine_PFBBr,hydrocinnamate_PFBBr,indole.3.acetate_PFBBr,indole.3.carboxaldehyde_PFBBr,indole.3.propionate_PFBBr,isobutyrate_PFBBr,isoleucine_PFBBr,isovaleric.acid_PFBBr,itaconate_PFBBr,leucine_PFBBr,lysine_PFBBr,methionine_PFBBr,p.cresol_PFBBr,palmitate_PFBBr,phenol_PFBBr,phenylacetate_PFBBr,phenylalanine_PFBBr,proline_PFBBr,propionate_PFBBr,serine_PFBBr,succinate_PFBBr,synephrine_PFBBr,threonine_PFBBr,toluate_PFBBr,trans.indole.3.acrylate_PFBBr,tryptamine_PFBBr,tryptophan_PFBBr,tyramine_PFBBr,tyrosine_PFBBr,valerate_PFBBr,valine_PFBBr,vanillin_PFBBr,2.3.butanediol_TMS,2.aminobutyric.acid_TMS,2.hydroxy.3.methylbutyric.acid_TMS,2.hydroxybutyric.acid_TMS,2.hydroxyisocaproic.acid_TMS,3.hydroxybutyric.acid_TMS,4.hydroxyphenylacetic.acid_TMS,4.hydroxyphenyllactic.acid_TMS,4.methylvaleric.acid_TMS,5.oxoproline_TMS,alanine_TMS,aspartic.acid_TMS,benzoic.acid_TMS,citric.acid_TMS,creatinine/creatine_TMS,cysteine_TMS,cystine_TMS,erythronic.acid_TMS,fumaric.acid_TMS,glucose_TMS,glutamic.acid_TMS,glutamine_TMS,glycine_TMS,glycolic.acid_TMS,hexanoic.acid_TMS,histidine_TMS,indole.3.acetic.acid_TMS,indole.3.lactic.acid_TMS,indole_TMS,isoleucine_TMS,lactic.acid_TMS,leucine_TMS,lysine_TMS,malic.acid_TMS,mannitol_TMS,mannose_TMS,methionine_TMS,niacin_TMS,ornithine_TMS,palmitic.acid_TMS,pantothenic.acid_TMS,phenylacetic.acid_TMS,phenylalanine_TMS,phenyllactic.acid_TMS,proline_TMS,psicose_TMS,pyruvic.acid_TMS,ribose_TMS,serine_TMS,stearic.acid_TMS,succinic.acid_TMS,sucrose_TMS,threitol_TMS,threonine_TMS,tryptophan_TMS,tyrosine_TMS,tyrosol_TMS,uracil_TMS,urocanic.acid_TMS,valeric.acid_TMS,valine_TMS,cis.aconitic.acid_TMS,meso.erythritol_TMS,myo.inositol_TMS,5.aminovaleric.acid_TMS,cadaverine_TMS,putrescine_TMS,tyramine_TMS,Log10_KP_CFU
DMC97,-3.8441204336345787,-14.500258063342423,1.9525768292305419,3.5782350353666974,-14.425544298063432,-1.2445795667141444,4.895915226171976,-2.928371749080012,-4.212576702160839,-2.7574210403836155,-5.795304723648805,0.6759899498418083,-15.635746701234737,-14.425544298063432,3.256176464345291,4.940036258900911,-0.4165153958184362,-4.330583493040334,-8.206831982884212,-3.364770665118967,-3.97397122013467,-14.425544298063432,-2.4733466857695876,0.18988962657632566,-2.024018430413067,2.650380643403522,-14.425544298063432,-3.8593112024047587,-3.2469365165849213,4.098224063401693,-14.425544298063432,-6.485034099741396,-14.465287823414295,-14.425544298063432,3.633971432941739,-2.29059595800073,3.7248713526024537,-14.425544298063432,-3.2605602968887473,-14.922783479813303,-6.1990599315410435,-4.355557904246107,-1.518108877160693,-2.8820958489638935,-2.3270763125968315,-4.100951708894365,2.066698959563968,3.2738962421652027,-3.007602567309173,0.7571663803214436,-7.1969151623512015,-4.348562263592314,-6.082755943963944,-4.09898997490949,-2.435578207156639,3.492446614470132,-14.564544267886186,-3.431146705765958,-5.011228379536352,-14.425544298063432,4.100730157510301,-5.877640731523487,2.191698212373372,-14.497715945339673,3.6185527142111296,2.9604456036831492,-14.425544298063432,-0.9439480661902625,-14.229502247890276,3.03525045189982,0.9058880220700434,-0.07698953208210949,-6.915994104797043,3.933199011022461,-14.425544298063432,-14.425544298063432,-14.008413476197822,3.242774020205627,1.0097244235055003,2.1907003648277295,-14.721275508932743,-14.768266199340248,3.9531296992693945,-14.425544298063432,-14.425544298063432,-4.128318369114126,-14.425544298063432,-14.425544298063432,-2.168166117767394,-3.1525098233671756,2.6195773380889995,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,2.753236953474718,1.7410948850041956,4.054903169739159,-14.425544298063432,0.6691705358071613,-4.409346508722241,-13.58423277048273,-14.425544298063432,-5.197086990949027,-14.425544298063432,-0.961408583848226,1.8671943424700475,-2.005107982276489,0.2084767124064184,-14.425544298063432,-0.9461002343421668,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-13.733392027096022,7.255272505
DMC98,-3.912166615388155,-14.370660252125875,2.4876939319880167,1.5627892028095232,-14.425544298063432,-1.1998589521067455,4.811910330989858,-2.295270839805931,-5.802168794277415,-4.206676099742036,-3.8088698775086547,0.4172837879906689,-15.523617915237892,-14.425544298063432,-2.4011787438469825,4.2168336728606945,-1.3767617147666908,-4.482913659926113,-14.053797124415649,-2.818566665313166,-4.326086802706574,-14.425544298063432,-3.2047904688322673,-0.25660739382942016,-3.117302779569546,-5.41572102158062,-14.425544298063432,-3.762630596227257,-2.943308470685137,3.74178068529098,-14.425544298063432,-5.142246551492297,-14.287024308501769,-14.425544298063432,2.241369347798928,-3.034150831669796,2.336664906089453,-14.425544298063432,-4.524904962374826,-13.59986888346488,-6.685469754712656,1.4788680237475087,-1.2836013344184722,-0.4556567461897344,-2.1654721656782154,-4.381517485479848,1.4527599427519977,3.631254509725385,-4.650979583777968,-2.7564871289731747,-14.493238165630022,-4.348489122663888,-6.079682033420218,-5.183604131884474,-2.509802898645288,3.890000001933263,-14.380881711222184,-2.471640987215524,-6.296651281116345,-14.425544298063432,3.589441157094298,-5.492053273805951,1.9087204513396459,-13.896242746407149,3.842428000055788,1.2455603451949928,-14.425544298063432,-0.8854436074024603,-7.715544378987509,3.7632281979131488,3.9189734008583597,2.392889428215124,-4.914150449785572,3.3145322744222585,-14.425544298063432,-14.425544298063432,-4.968928510176179,2.0622385767189435,3.2468612554353244,2.8111901423750227,-14.940595676583948,-5.964757534249671,4.964523093780883,-14.425544298063432,-14.425544298063432,-4.7464740388817415,-14.425544298063432,-14.425544298063432,-14.555523712017969,-4.02247851431453,3.9857801256555785,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,3.6916274436914733,0.12202118894742436,4.14215316636302,-14.425544298063432,-0.030745829566378932,-4.893736038664464,-1.11604127446879,-14.425544298063432,-5.040441966641608,-14.425544298063432,-0.5476177044997312,2.2728537975436747,-5.762332376032684,0.9206026075437173,-14.425544298063432,1.5761755700224416,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.825866518395776,8.322219295
DMC99,-3.725857822179305,-14.308255945557924,4.648092710282903,2.63533102008933,-14.425544298063432,-0.9442405449614484,4.111157889949986,-1.770756986097618,-5.4327118555447,-4.255225155346075,-2.898958784959598,0.05547934583808564,-13.45826682512358,-14.425544298063432,-2.246157355223958,0.9309098164768499,-3.4691277564193106,-4.233635262729181,-14.317438512671869,-2.761919815803067,-3.969214585874979,-14.425544298063432,-7.637554799038962,-1.1210235382263056,-3.0886188935968644,-6.06180832963913,-14.425544298063432,-3.270408660953039,-2.8186175507616293,3.2677828433921063,-14.425544298063432,-4.367634618785717,-7.878430011040246,-14.425544298063432,3.030728382014221,-3.0049334177616682,2.702463533358919,-14.425544298063432,-14.703303327895467,-14.947434133482027,-6.375987415883308,-4.41137008750045,-1.120936909611343,-0.5417238426060449,-2.068421575802242,-3.998878842943311,1.9333738629393995,3.7340304614935884,-2.7079591078061096,-2.7356246706641363,-14.2113312996224,-4.517638177772732,-6.043698491192443,-5.425585290468293,-2.0762936048404814,-1.799993252290197,-8.179548552333605,-2.044883365911452,-6.741555941942558,-14.425544298063432,3.8787308552149877,-5.569079833157913,2.147064093419446,-14.342981173365311,4.3887256341409095,2.1898325330083774,-14.425544298063432,-0.9779696166678685,-6.022162154633351,4.032845519781342,4.108244396312481,2.3432484086696146,-4.879963758516804,3.315339647405796,-14.425544298063432,-14.425544298063432,-6.041059136321937,1.2997518192869213,3.253576241678224,-1.4887690316882134,-14.901776597451079,-5.1974726371547915,4.9680611310414236,-14.425544298063432,-14.425544298063432,-4.688606832892974,-14.425544298063432,-14.425544298063432,-13.850005276403785,-4.377172009669446,1.7811567220587583,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,3.2971579827580375,1.8480640802162462,4.892057532272359,-14.425544298063432,-0.36584507803404154,-5.18548444057212,-14.96312365028226,-14.425544298063432,-5.211279531908779,-14.425544298063432,0.004249792985393214,1.6632602094703575,-14.448730107487311,3.8154803622769986,-14.425544298063432,-14.912538090128292,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-5.748237972402967,7.230448921
DMC100,-3.4700249855387857,-5.616024780245898,3.397495231997326,1.052296322872577,-14.425544298063432,-1.9744326689660614,3.2760763065237892,-3.075910433851793,-4.697139829398748,-2.4741844323350004,-3.901405686054731,0.28544958743647997,-13.905006642835753,-14.425544298063432,-1.7626923797339487,1.744730055919765,-0.9479338843744702,-4.361294000217061,-8.416923183229397,-2.714233542040308,-4.20299142154991,-14.425544298063432,-7.998699721398318,0.021877769213816976,-1.4861643490876342,-5.545259288215302,-14.425544298063432,-3.5821471674410046,-3.055254869536876,3.731572287492675,-14.425544298063432,-5.937402136131118,-14.07299443934014,-14.425544298063432,1.3978416542137175,-3.386612472912508,1.9262644744298452,-14.425544298063432,-3.909012088401312,-14.058214316445447,-5.425619184299108,1.0158252734371416,-1.2873786493725992,-1.8876784789038532,-1.9974112952406746,-4.2407863353033415,1.4212976570493459,3.361293577489492,-3.589352915693053,-3.195919671478739,-6.890152177250975,-4.449835939859211,-6.222762409524229,-5.122172704931546,-2.3919635276657782,4.034981456264363,-14.263927292252493,-1.875441491000123,-5.847937153596433,-14.425544298063432,3.810489270557957,-6.265952860887014,1.9402228826816197,-14.666554011845532,3.2639397564510877,1.2021360854396126,-14.425544298063432,-0.9952820518582245,-8.352555924374258,5.1418929621553655,3.9943436802398518,2.7032079371214786,-4.818275644401447,3.9411694293843897,-14.425544298063432,-14.425544298063432,-4.0766025988573125,3.352290573245775,2.725286588578701,1.7467533191490678,-15.152269624997903,-5.600588042716141,4.601884179599157,-14.425544298063432,-14.425544298063432,-4.169897762898306,-14.425544298063432,-14.425544298063432,-14.109258617172353,-3.5494464017032055,3.250900674309267,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,3.3467772030951175,0.19780027171154102,3.6885036085043206,-14.425544298063432,-0.559865305785343,-4.538675022567999,-1.016999641286822,-14.425544298063432,-4.8651406748073756,-14.425544298063432,0.7353552995089591,1.655508753972697,-6.326590180369424,0.7076483310466919,-14.425544298063432,0.11026237380585716,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.611006980745032,6.447158031
DMC101,-3.7537916203410213,-14.614620982311303,3.3447526066402737,1.7937180389751735,-14.425544298063432,-1.1193194859719402,4.0462123518892605,-2.1822970086235007,-4.928700627004325,-4.499540565318754,-4.408306025014519,0.5093925422569866,-14.503546992906909,-14.425544298063432,-1.919571076729114,2.693723322035469,-1.3907163778670146,-4.5596508325935785,-14.0214491716217,-2.6171008718197175,-4.252886830169575,-14.425544298063432,-8.196019146852171,-0.285989838256175,-3.177977837807336,-5.329690949098756,-14.425544298063432,-3.689893390695956,-2.9413838424584,4.250183498722603,-14.425544298063432,-5.264713513626103,-14.169617109910842,-14.425544298063432,1.7692107140885245,-3.1423895282183647,1.9661367638475737,-14.425544298063432,-4.432124141908753,-13.991938898881093,-6.299395754018834,0.3426875897272818,-1.2859481816369218,-0.05129653309430621,-2.121010709051245,-4.42769608997418,1.9538092524036483,3.580854928007829,-4.886463330874022,-2.691670027569419,-14.433150480501933,-4.304862500076156,-5.884191114315528,-4.942361460506921,-2.2830879651277076,2.6690899220189115,-14.39462983464053,-2.5024947153609465,-6.595268758260759,-14.425544298063432,3.7220610616356513,-5.578255629798965,2.0105571093058976,-14.314277458359792,3.8366338998055767,1.4637474705124924,-14.425544298063432,-0.8709931852198406,-8.51548349734947,4.615523227234844,4.255674699675766,2.6559487167936053,-4.6719607571261275,3.7936617699081205,-14.425544298063432,-14.425544298063432,-5.5333901719709875,2.0364295485085475,2.8002763860715825,2.401742106385115,-14.65437059197566,-5.466781754467741,4.9963529495676555,-14.425544298063432,-14.425544298063432,-4.458578939695649,-14.425544298063432,-14.425544298063432,-15.453108903823022,-3.451646065457255,3.9537614013029314,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,3.7720800843415683,0.23865421812823634,4.163753028511063,-14.425544298063432,-0.48061965084723013,-3.9940867334589365,-1.42773348044212,-14.425544298063432,-4.794659010277597,-14.425544298063432,-1.747148284335211,1.6075935889591326,-14.052289031234654,1.771597856692732,-14.425544298063432,-0.5256782829681096,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-5.654128888382745,6.698970004
DMC102,-3.904617453980103,-14.29416690019896,2.5079560136645322,2.479480771927223,-14.425544298063432,-0.7620002230187699,3.5604147677967797,-2.882187111447652,-4.740614251382397,-2.8293504344792484,-3.6204914431204305,0.40687127607656204,-14.420795951309586,-14.425544298063432,-1.8029258057825257,1.8341944254133418,0.1802845549273609,-4.759830638500165,-7.598105916552001,-2.7115022755803384,-4.1055065914159234,-14.425544298063432,-8.229754408257287,0.06499821528485146,-1.6802651496739731,-6.322119153825993,-14.425544298063432,-3.5935059726649103,-2.9058218592804232,4.704131737717889,-14.425544298063432,-5.791500903889534,-14.036939527710215,-14.425544298063432,2.322717652885584,-2.8709471320955404,2.5942555511523726,-14.425544298063432,-3.00965386643825,-14.765976439778296,-5.370394704688672,-3.6312193277139047,-1.3317484782472782,-3.0394500705187353,-1.9934772259878968,-4.1458970099494845,1.559915407149321,3.267749424462938,-4.333636856167169,-1.676904740197838,-7.252781293211715,-4.106960147647774,-6.220442125148251,-5.324182400795451,-2.425751207089256,3.830332372229709,-8.406716883644478,-2.349821068547254,-5.918713072588306,-14.425544298063432,3.9226943641763463,-6.132070923584636,1.8869043059041677,-14.39280268603837,2.4318432158444905,2.0552766315787934,-14.425544298063432,-0.8353869391119785,0.4653900890276269,5.127273966703615,4.213750267769925,2.6502592258082234,-4.627673118739021,3.3060890053899095,-14.425544298063432,-14.425544298063432,-14.722572167375636,1.1984315857674464,2.4691322716146837,2.4560576550007402,-5.853568061884861,-5.058630243418181,4.357553282711117,-14.425544298063432,-14.425544298063432,-4.345184910679584,-14.425544298063432,-14.425544298063432,-14.632142590557985,-3.7620695995094824,3.523553066050279,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,2.922615794193779,1.2931460213005885,3.870660572547182,-14.425544298063432,0.5170724617079467,-3.2416808263826336,-14.404752125649239,-14.425544298063432,-4.843052055349535,-14.425544298063432,-0.06371007569859657,1.616537527233342,-4.0227602678842365,0.6387815788864397,-14.425544298063432,-0.5936173375381937,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.326448753370933,6.544068044
DMC103,-4.061718405605836,-14.340465730215161,3.9290704948534776,3.733545790394603,-14.425544298063432,-1.4324367220304859,4.7729718938661545,0.11963774719550044,-4.5306559444319205,-1.191056422627198,-2.601321088951106,-1.5049335904498122,-13.953699215068697,-14.425544298063432,-2.000713547757494,1.0693179694467259,-1.5934559899044154,-4.1265341314920585,-14.587791038752776,-2.7094035907275256,-3.95564463458989,-14.425544298063432,-7.88389373198234,-0.8608362372463122,-3.2807179948504417,-4.931297251473897,-14.425544298063432,-3.6528886858704794,-2.6399344612918334,1.3616171698240396,-14.425544298063432,-3.846643959395618,-7.208525458078134,-14.425544298063432,3.9286368937795784,-3.3360862346465807,3.828990641223503,-14.425544298063432,-8.718231215455813,-14.132468361798992,-6.3868066087981,-3.1651427402165715,-1.1433990076673308,1.8501531043359636,-2.0200672092637704,-3.6333716969941965,0.06350863570918353,4.369768795693096,-0.6160184989785623,-2.7398595536157133,-14.293248194028157,-3.893059292937346,-5.462882924866267,-5.30417475752972,-2.4091325687629093,-3.6335561402946612,-14.862603458079711,-2.2139198008691205,-6.772498270574138,-14.425544298063432,3.6639879555015895,-5.746276231117537,2.330001301204133,-15.048724213270255,4.234515548451329,2.6375717424591247,-14.425544298063432,-1.0940719428891892,-5.563271525368879,4.21507670180433,4.180269026958782,-2.1923881325570482,-4.653143915954919,3.0311361750036534,-14.425544298063432,-14.425544298063432,-14.039868412596752,1.0153702195351004,3.498015390687572,-0.8151260790661217,-13.822821534410698,-4.410199552399353,4.293386031544683,-14.425544298063432,-14.425544298063432,-4.7493601195610795,-14.425544298063432,-14.425544298063432,-13.812983596991643,-4.085460691064745,0.5245743542016759,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,3.1722257784610064,2.7520136857836546,4.0414154135879246,-14.425544298063432,0.7352743608511967,-14.415594495288145,-4.570198864341533,-14.425544298063432,-5.341620050062916,-14.425544298063432,-1.0286396178853008,2.602508671113772,-13.64572527363726,3.9109673450614695,-14.425544298063432,-14.149268990593844,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-13.681444859970366,5.230448921
DMC104,-3.777540898740868,-14.393385173121555,1.7018469945593913,1.34216692963876,-14.425544298063432,-0.1878470385944629,1.5370584613895097,-1.6600581116630222,-5.020793141097974,-3.2003633429681675,-3.0735989559727814,-1.089307570373696,-14.911917558252716,-14.425544298063432,-1.9374813649829987,1.7238047105215242,-1.719233666523575,-4.4999033528935355,-15.230100144641296,-4.387573611358067,-4.215016346910097,-14.425544298063432,-2.842756266731534,0.0454056831558848,-3.167012199278529,-6.350099126613641,-14.425544298063432,-3.9190601672965184,-2.891291657925505,3.5434684357688537,-14.425544298063432,-4.974500264377542,-14.793383714060719,-14.425544298063432,2.515397759322025,-3.4310247873615984,1.74517411856852,-14.425544298063432,-4.223334260223687,-5.265712095818824,-6.7626756777044905,2.673850628914921,-1.5850267561092148,-1.0332517947217605,-2.126468171612171,-4.238135581891806,0.8608947695038007,3.705011025396588,-3.7971332708963352,4.094507373807769,-5.3150732078450975,-3.8139239082359904,-5.303343894103268,-6.03195037091804,-2.5871246091838542,3.5095076597592465,-14.402121537368423,-2.7332446811653055,-6.412808892608233,-14.425544298063432,3.6550756123604957,-5.411690866643582,2.0018287467617957,-13.706218371788331,3.195121457249697,1.0512034622399813,-14.425544298063432,-0.8193635037344537,-2.8453336638000373,-2.5825346346515845,3.8958917712185586,2.2008696854093017,-4.884412614774913,2.384122634979703,-14.425544298063432,-14.425544298063432,-5.169738571024302,-15.060865197777643,2.6511508130289045,2.781069119646502,-14.138205872853087,-5.209560287180226,4.7738743471867275,-14.425544298063432,-14.425544298063432,-4.751103821458304,-14.425544298063432,-14.425544298063432,-13.99964202801003,-1.6901672727550512,3.5788780859851723,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,3.7844686280435176,0.2782305866330635,4.762746483676346,-14.425544298063432,-0.7077050578229287,-4.606896988937017,-0.6116530950085886,-14.425544298063432,-4.718639311002042,-14.425544298063432,0.050484328534636136,2.121044435684019,5.023069370387894,1.0796398127505171,-14.425544298063432,-0.13088038794616927,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.475761819336737,6.755874856
DMC105,-3.933900206654866,-14.465253756256164,4.5277749833504535,0.31998979304968556,-14.425544298063432,-1.4598119729313377,4.627739460077839,-2.297995837074335,-4.661900256287923,-3.6471261635734864,-4.299759340065499,2.560396018162912,-15.008655520323307,-14.425544298063432,3.5012527891446257,-0.047940829763833535,-3.495031120442627,-4.296382390068865,-7.423642990959347,-4.13494443257576,-4.367736998065287,-14.425544298063432,-6.753772844274002,-0.7908607143649409,-3.1752816983649126,2.4843269023527697,-14.425544298063432,-3.8857754345372912,-3.038908832150489,1.699133191767677,-14.425544298063432,-4.632578258072369,-8.514027400381421,-14.425544298063432,0.8590332670448932,-2.623471145113616,1.4000073059238791,-14.425544298063432,-7.6821040179122395,-14.454232078201846,-6.761947162744694,-4.710914781187878,-2.20875694872799,-3.559585156710408,-1.9809566879933145,-3.791639088469117,2.8997168742709203,-2.512151303633185,-3.7370718806971595,-3.1375817422777748,-8.36172552644106,-4.261386192818844,-6.624203864108716,-4.719687844541822,-2.5357461414275324,-3.0929030743849566,-14.734343905345494,-2.3403800974186635,-6.381195514819149,-14.425544298063432,-0.6961897293756351,-5.339632285257073,1.9872186783842722,-14.214022185459894,4.490684591404074,0.7865580189696677,-14.425544298063432,-1.1665747124926116,-7.014095143033018,4.8161992754092,3.6951685536946655,2.6884360895444983,-5.159123408035584,2.9226547761194164,-14.425544298063432,-14.425544298063432,-15.174039745031049,2.3730091254256784,2.198767900480367,-2.288827617876041,-14.921793716175797,-5.783590484097331,3.1379267468063565,-14.425544298063432,-14.425544298063432,-4.874098867519303,-14.425544298063432,-14.425544298063432,-2.368159383733736,-5.716814315110129,-0.8153600248947476,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,3.850140871114356,-1.5842472583343512,4.273374773915127,-14.425544298063432,-0.9648656077521836,-4.347211788656792,-13.644386230209205,-14.425544298063432,-5.390861312150931,-14.425544298063432,1.0888582389011807,-4.019706950322163,-5.279874360024799,4.527092787669302,-14.425544298063432,-16.10214890881136,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.317492893356306,5.041392685
DMC106,-3.680888703584405,-14.515021518384962,5.616280358013638,0.9135286941650185,-14.425544298063432,-1.0494606129177306,4.3570318868666735,-2.404386918353405,-4.700482676645866,-3.3265170280583343,-4.301900062723479,2.3501297531422605,-15.508596128493814,-14.425544298063432,-1.391246879635236,0.5141335455578913,0.37026711727091866,-4.275017301004302,-7.382750300071235,-4.224124155172303,-3.757427529490045,-14.425544298063432,-8.402526482349307,-0.7868515870899115,-2.71056394205697,-5.31928906022257,-14.425544298063432,-4.538262217230993,-2.8157617253526106,2.932184132121685,-14.425544298063432,-4.286696805300063,-8.04901698454967,-14.425544298063432,1.2092614464821234,-2.7204448992218335,2.009877742494003,-14.425544298063432,-8.322131358263096,-15.028560935248228,-6.563654162375076,-4.705233548095716,-2.3237534506714,-1.5950842492190178,-1.9512163409107874,-3.9888517004139805,2.6830212185570024,-1.1733179884097142,-3.9177617698040543,-3.193022469362573,-9.27693903548638,-4.2493303962844475,-6.514385418360837,-3.9612627343149027,-2.5152161143939704,-3.5478141925757307,-14.579562696432708,-2.4160822535624615,-6.384797837492058,-14.425544298063432,0.2885487094278981,-5.824044380365605,2.0246688417311534,-14.745999409840177,4.180836196363156,1.2238993317916074,-14.425544298063432,-1.1320729347960263,-5.695348642830857,4.329207097216689,3.794448765389805,2.1059403476773664,-5.033878708493933,4.014045895851809,-14.425544298063432,-14.425544298063432,-14.03224819021758,3.044948840294382,3.0670983237051295,-1.6055933726300498,-5.5144895953877935,-5.973945941803382,4.636076597702366,-14.425544298063432,-14.425544298063432,-5.21556774815595,-14.425544298063432,-14.425544298063432,-12.787296894440097,-4.572108399920152,0.6911984143043388,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,3.666641962978244,-0.3238904929318758,4.2671132225663975,-14.425544298063432,-0.6725075700618638,-4.132321862324361,-14.530419595249828,-14.425544298063432,-5.142789873821157,-14.425544298063432,0.9485641558008295,-3.5053559244784025,-14.66938327290136,4.214953989602384,-14.425544298063432,-14.08128546833959,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.425544298063432,-14.884350134796772,5.62324929
